longueur d'onde;nitrate de baryum;chlorure de cuivre(II);chlorure de sodium
764,296;457,628;168,157;168,157
764,468;447,793;179,979;179,979
764,639;481,442;155,554;155,554
764,811;493,325;158,815;158,815
764,983;542,229;161,36;161,36
765,155;570,619;167,107;167,107
765,326;639,725;197,247;197,247
765,498;672,91;136,425;136,425
765,67;697,286;147,095;147,095
765,841;717,035;179,831;179,831
766,013;831,473;166,08;166,08
766,185;832,152;194,566;194,566
766,357;965,086;186,038;186,038
766,528;1081,22;206,828;206,828
766,7;1969,12;234,431;234,431
766,872;7778,61;389,292;389,292
767,044;15179,9;511,223;511,223
767,215;16319,4;732,835;732,835
767,387;16335,5;794,239;794,239
767,559;16309,7;848,011;848,011
767,73;16294,8;702,847;702,847
767,902;16310,7;515,576;515,576
768,074;9528,94;283,886;283,886
768,246;1601,49;216,556;216,556
768,417;1105,09;183,253;183,253
768,589;900,591;228,823;228,823
768,761;781,545;213,147;213,147
768,932;705,069;177,409;177,409
769,104;679,356;218,068;218,068
769,276;704,91;199,708;199,708
769,448;680,693;295,59;295,59
769,619;628,899;228,25;228,25
769,791;645,277;180,834;180,834
769,963;697,231;215,601;215,601
770,134;1245,16;256,847;256,847
770,306;4395,6;312,011;312,011
770,478;8823,34;349,233;349,233
770,649;13986,5;516,668;516,668
770,821;16325,5;560,646;560,646
770,993;16318,2;547,173;547,173
771,165;13103;471,795;471,795
771,336;8319,31;413,591;413,591
771,508;2949,5;191,434;191,434
771,68;766,529;176,7;176,7
771,851;557,848;179,275;179,275
772,023;359,57;166,425;166,425
772,195;320,117;173,269;173,269
772,367;276,11;152,409;152,409
772,538;229,602;126,523;126,523
772,71;225,291;202,927;202,927
772,882;201,956;166,722;166,722
773,053;203,645;153,211;153,211
773,225;173,968;144,251;144,251
773,397;147,32;194,791;194,791
773,568;138,561;210,099;210,099
773,74;141,908;172,873;172,873
773,912;94,061;152,002;152,002
774,083;137,612;228,937;228,937
774,255;96,099;142,671;142,671
774,427;89,381;167,964;167,964
774,599;84,85;186,657;186,657
774,77;67,613;179,173;179,173
774,942;87,385;119,443;119,443
775,114;82,256;138,917;138,917
775,285;79,733;150,313;150,313
775,457;100,229;185,041;185,041
775,629;92,907;172,606;172,606
775,8;73,684;125,701;125,701
775,972;65,202;132,13;132,13
776,144;87,577;197,912;197,912
776,315;51,046;165,901;165,901
776,487;85,651;206,535;206,535
776,659;49,63;126,947;126,947
776,83;82,095;111,806;111,806
777,002;69,978;116,053;116,053
777,174;51,779;167,873;167,873
777,345;77,529;143,332;143,332
777,517;51,883;191,582;191,582
777,689;64,69;121,521;121,521
777,86;66,099;188,556;188,556
778,032;73,853;200,87;200,87
778,204;64,987;164,866;164,866
778,375;51,401;110,716;110,716
778,547;35,26;151,444;151,444
778,719;69,243;202,727;202,727
778,89;67,781;172,314;172,314
779,062;50,118;184,132;184,132
779,234;68,245;186,316;186,316
779,406;61,07;200,001;200,001
779,577;45,701;176,231;176,231
779,749;60,057;198,681;198,681
779,921;55,631;142,302;142,302
780,092;73,202;182,365;182,365
780,264;33,575;160,076;160,076
780,435;73,28;184,755;184,755
780,607;72,941;179,91;179,91
780,779;79,549;162,764;162,764
780,95;82,528;204,678;204,678
781,122;90,249;224,727;224,727
781,294;69,076;179,732;179,732
781,465;65,128;179,249;179,249
781,637;50,099;134,218;134,218
781,809;65,504;174,194;174,194
781,98;55,297;220,498;220,498
782,152;55,526;152,476;152,476
782,324;70,338;160,988;160,988
782,495;59,583;85,565;85,565
782,667;49,947;155,024;155,024
782,839;63,156;157,447;157,447
783,01;39,949;120,943;120,943
783,182;58,928;169,23;169,23
783,354;75,606;224,217;224,217
783,525;45,327;179,589;179,589
783,697;71,133;161,971;161,971
783,869;54,607;151,865;151,865
784,04;65,392;157,447;157,447
784,212;77,358;201,805;201,805
784,384;56,511;142,655;142,655
784,555;61,618;189,594;189,594
784,727;67,148;179,539;179,539
784,898;48,932;191,869;191,869
785,07;51,83;215,884;215,884
785,242;47,846;145,696;145,696
785,413;78,198;252,499;252,499
785,585;56,196;202,953;202,953
785,757;53,82;268,38;268,38
785,928;80,266;184,758;184,758
786,1;73,125;216,901;216,901
786,272;124,602;227,643;227,643
786,443;116,547;267,521;267,521
786,615;127,162;229,331;229,331
786,787;114,593;248,723;248,723
786,958;82,016;246,112;246,112
787,13;71,53;205,393;205,393
787,301;67,487;159,092;159,092
787,473;60,609;176,911;176,911
787,645;40,53;122,164;122,164
787,816;73,713;216,175;216,175
787,988;65,229;212,782;212,782
788,16;67,953;191,895;191,895
788,331;49,931;226,456;226,456
788,503;80,32;247,091;247,091
788,674;61,613;236,67;236,67
788,846;42,636;208,617;208,617
789,018;70,188;192,073;192,073
789,189;73,312;204,477;204,477
789,361;57,413;160,391;160,391
789,533;78,545;178,59;178,59
789,704;97,16;202,054;202,054
789,876;81,971;202,372;202,372
790,047;99,169;167,271;167,271
790,219;72,158;204,426;204,426
790,391;80,123;199,14;199,14
790,562;47,33;190,765;190,765
790,734;60,132;196,884;196,884
790,906;47,548;204,298;204,298
791,077;75,524;206;206
791,249;73,729;199,056;199,056
791,42;43,225;155,739;155,739
791,592;41,955;186,199;186,199
791,764;44,019;223,975;223,975
791,935;55,176;178,964;178,964
792,107;48,67;169,296;169,296
792,278;32,459;102,434;102,434
792,45;49,734;219,324;219,324
792,622;67,13;184,971;184,971
792,793;32,336;206,753;206,753
792,965;61,813;185,096;185,096
793,137;50,167;195,696;195,696
793,308;77,357;209,142;209,142
793,48;47,438;190,071;190,071
793,651;25,704;163,388;163,388
793,823;40,753;200,486;200,486
793,995;65,575;237,881;237,881
794,166;56,453;117,848;117,848
794,338;34,183;182,651;182,651
794,509;46,548;161,982;161,982
794,681;68,606;238,504;238,504
794,853;39,646;190,222;190,222
795,024;28,872;140,442;140,442
795,196;36,204;127,776;127,776
795,367;71,623;185,038;185,038
795,539;49,167;253,909;253,909
795,711;70,682;203,981;203,981
795,882;85,585;230,426;230,426
796,054;52,526;212,864;212,864
796,225;68,711;163,463;163,463
796,397;49,962;181,45;181,45
796,569;63,054;157,117;157,117
796,74;36,379;217,405;217,405
796,912;58,182;233,63;233,63
797,083;58,97;224,105;224,105
797,255;41,016;116,942;116,942
797,426;38,704;229,003;229,003
797,598;46,616;243,469;243,469
797,77;49,779;225,637;225,637
797,941;64,615;180,452;180,452
798,113;52,903;197,585;197,585
798,284;61,224;212,383;212,383
798,456;57,616;243,976;243,976
798,628;52,107;209,545;209,545
798,799;40,943;145,432;145,432
798,971;54,353;254,157;254,157
799,142;50,331;203,201;203,201
799,314;44,607;254,771;254,771
799,486;51,529;180,678;180,678
799,657;44,715;152,02;152,02
799,829;59,394;193,901;193,901
800;48,672;255,992;255,992
800,172;66,998;187,034;187,034
800,343;65,486;196,363;196,363
800,515;67,407;224,976;224,976
800,687;33,437;228,062;228,062
800,858;36,008;188,603;188,603
801,03;39,91;173,012;173,012
801,201;43,378;240,683;240,683
801,373;83,697;229,234;229,234
801,544;58,374;249,906;249,906
801,716;69,575;213,385;213,385
801,888;57,232;257,008;257,008
802,059;51,982;231,191;231,191
802,231;74,166;289,201;289,201
802,402;21,378;192,297;192,297
802,574;63,452;229,744;229,744
802,745;53,285;146,36;146,36
802,917;71,969;235,781;235,781
803,089;41,801;137,026;137,026
803,26;48,907;195,727;195,727
803,432;33,104;207,336;207,336
803,603;29,931;170,072;170,072
803,775;68,498;122,766;122,766
803,946;43,268;222,904;222,904
804,118;39,707;162,404;162,404
804,289;36,243;167,837;167,837
804,461;42,505;181,845;181,845
804,633;59,907;220,142;220,142
804,804;44,466;249,693;249,693
804,976;60,15;344,276;344,276
805,147;49,759;268,326;268,326
805,319;46,576;231,276;231,276
805,49;43,724;170,464;170,464
805,662;62,619;285,28;285,28
805,833;38,616;237,252;237,252
806,005;75,267;221,851;221,851
806,177;45,735;187,756;187,756
806,348;62,669;196,758;196,758
806,52;47,21;172,217;172,217
806,691;42,507;256,902;256,902
806,863;35,056;222,484;222,484
807,034;44,799;223,105;223,105
807,206;44,076;209,118;209,118
807,377;40,938;198,07;198,07
807,549;37,03;192,131;192,131
807,721;32,712;206,333;206,333
807,892;40,198;241,591;241,591
808,064;57,183;210,817;210,817
808,235;74,188;322,133;322,133
808,407;59,651;241,659;241,659
808,578;34,448;236,541;236,541
808,75;80,628;233,833;233,833
808,921;65,415;284,119;284,119
809,093;49,322;241,544;241,544
809,264;50,153;260,914;260,914
809,436;78,317;272,502;272,502
809,607;36,424;225,542;225,542
809,779;46,009;269,835;269,835
809,951;58,517;269,555;269,555
810,122;34,213;203,766;203,766
810,294;63,276;283,547;283,547
810,465;50,233;217,322;217,322
810,637;38,663;227,739;227,739
810,808;41,172;287,95;287,95
810,98;48,09;239,973;239,973
811,151;55,911;258,696;258,696
811,323;54,235;306,398;306,398
811,494;45,6;200,72;200,72
811,666;51,573;193,528;193,528
811,837;61,267;163,341;163,341
812,009;65,474;219,894;219,894
812,18;60,419;227,407;227,407
812,352;77,255;258,718;258,718
812,523;73,254;256,679;256,679
812,695;69,604;284,665;284,665
812,867;46,512;208,632;208,632
813,038;55,525;200,769;200,769
813,21;49,587;290,432;290,432
813,381;64,442;236,624;236,624
813,553;87,3;290,671;290,671
813,724;73,573;251,237;251,237
813,896;47,028;215,046;215,046
814,067;61,192;325,101;325,101
814,239;46,99;259,206;259,206
814,41;51,322;210,848;210,848
814,582;54,806;221,341;221,341
814,753;46,964;291,206;291,206
814,925;56,808;287,723;287,723
815,096;33,982;152,752;152,752
815,268;52,173;275,105;275,105
815,439;51,992;254,801;254,801
815,611;62,222;187,535;187,535
815,782;65,37;239,196;239,196
815,954;62,834;267,778;267,778
816,125;36,746;269,416;269,416
816,297;51,03;228,001;228,001
816,468;56,056;248,122;248,122
816,64;44,908;191,869;191,869
816,811;41,205;258,803;258,803
816,983;49,519;253,411;253,411
817,154;48,647;246,803;246,803
817,326;43,363;346,881;346,881
817,497;33,886;178,951;178,951
817,669;58,601;322,36;322,36
817,84;78,113;260,535;260,535
818,012;49,277;269,774;269,774
818,183;22,761;203,881;203,881
818,355;70,738;337,817;337,817
818,526;54,419;276,233;276,233
818,698;49,857;186,766;186,766
818,869;52,749;265,516;265,516
819,041;65,432;255,972;255,972
819,212;65,101;223,176;223,176
819,384;61,194;371,302;371,302
819,555;63,278;309,395;309,395
819,727;57,537;215,407;215,407
819,898;38,139;320,556;320,556
820,07;37,839;281,113;281,113
820,241;61,806;318,189;318,189
820,413;52,813;285,909;285,909
820,584;74,799;256,785;256,785
820,756;59,373;292,909;292,909
820,927;37,054;421,978;421,978
821,099;66,054;353,137;353,137
821,27;69,16;461,021;461,021
821,442;56,88;363,188;363,188
821,613;49,24;279,664;279,664
821,785;35,892;293,588;293,588
821,956;52,685;289,369;289,369
822,128;47,335;325,124;325,124
822,299;40,251;259,744;259,744
822,471;73,425;323,004;323,004
822,642;31,696;245,156;245,156
822,814;63,673;378,32;378,32
822,985;73,237;370,126;370,126
823,157;74,518;318,262;318,262
823,328;66,283;287,339;287,339
823,499;56,729;332,002;332,002
823,671;35,114;240,435;240,435
823,842;59,648;280,033;280,033
824,014;88,394;388,916;388,916
824,185;48,312;317,047;317,047
824,357;47,311;277,088;277,088
824,528;66,114;307,317;307,317
824,7;51,391;238,431;238,431
824,871;50,262;276,574;276,574
825,043;84,071;185,917;185,917
825,214;53,363;278,486;278,486
825,386;66,381;288,645;288,645
825,557;74,129;263,612;263,612
825,729;57,667;225,113;225,113
825,9;29,02;237,248;237,248
826,072;63,68;331,325;331,325
826,243;50,037;350,264;350,264
826,414;52,724;299,852;299,852
826,586;62,961;284,603;284,603
826,757;27,636;225,165;225,165
826,929;65,466;363,034;363,034
827,1;69,352;281,267;281,267
827,272;53,791;184,166;184,166
827,443;73,628;302,418;302,418
827,615;69,252;326,919;326,919
827,786;58,206;275,659;275,659
827,958;63,301;248,094;248,094
828,129;52,998;402,939;402,939
828,301;72,192;272,773;272,773
828,472;53,207;238,717;238,717
828,643;59,598;279,085;279,085
828,815;44,728;303,667;303,667
828,986;57,115;338,613;338,613
829,158;74,222;273,83;273,83
829,329;30,05;197,921;197,921
829,501;58,184;256,259;256,259
829,672;84,871;380,792;380,792
829,844;61,071;306,562;306,562
830,015;62,108;248,836;248,836
830,186;69,498;407,1;407,1
830,358;75,624;257,48;257,48
830,529;56,4;309,335;309,335
830,701;75,563;332,816;332,816
830,872;44,926;302,188;302,188
831,044;63,969;322,151;322,151
831,215;77,285;293,754;293,754
831,387;75,557;324,188;324,188
831,558;57,834;277,125;277,125
831,729;70,013;296,091;296,091
831,901;72,762;345,444;345,444
832,072;61,837;316,945;316,945
832,244;53,77;359,345;359,345
832,415;45,551;382,835;382,835
832,587;73,594;322,128;322,128
832,758;65,891;262,236;262,236
832,93;69,357;367,036;367,036
833,101;48,009;327,111;327,111
833,272;32,803;307,857;307,857
833,444;65,169;316,499;316,499
833,615;88,293;396,557;396,557
833,787;40,543;413,311;413,311
833,958;65,067;327,147;327,147
834,13;56,702;372,69;372,69
834,301;52,803;284,343;284,343
834,472;54,364;462,408;462,408
834,644;48,639;334,778;334,778
834,815;60,487;332,428;332,428
834,987;41,226;155,425;155,425
835,158;55,613;275,33;275,33
835,33;74,114;400,446;400,446
835,501;39,595;392,295;392,295
835,672;67,444;375,079;375,079
835,844;46,047;300,664;300,664
836,015;70,774;477,451;477,451
836,187;38,162;264,524;264,524
836,358;76,917;346,391;346,391
836,53;52,919;365,069;365,069
836,701;36,937;450,605;450,605
836,872;44,944;368,823;368,823
837,044;55,562;322,424;322,424
837,215;63,073;380,591;380,591
837,387;75,248;309,377;309,377
837,558;50,764;374,972;374,972
837,729;31,238;345,32;345,32
837,901;41,527;374,528;374,528
838,072;39,114;356,13;356,13
838,244;79,643;389,424;389,424
838,415;43,125;367,541;367,541
838,587;67,525;255,927;255,927
838,758;48,059;393,495;393,495
838,929;55,002;335,381;335,381
839,101;57,942;324,283;324,283
839,272;50,065;339,003;339,003
839,444;49,853;369,787;369,787
839,615;36,656;277,721;277,721
839,786;50,271;321,647;321,647
839,958;30,193;345,246;345,246
840,129;44,813;279,061;279,061
840,301;40,588;474,867;474,867
840,472;47,432;421,866;421,866
840,643;42,697;371,412;371,412
840,815;49,34;489,141;489,141
840,986;55,444;438,729;438,729
841,158;68,558;415,686;415,686
841,329;59,659;277,73;277,73
841,5;38,79;302,653;302,653
841,672;45,276;413,46;413,46
841,843;43,522;318,033;318,033
842,015;46,237;347,64;347,64
842,186;43,294;401,876;401,876
842,357;49,571;439,726;439,726
842,529;58,335;398,58;398,58
842,7;71,39;266,991;266,991
842,872;68,549;474,421;474,421
843,043;47,412;384,572;384,572
843,214;34,127;424,998;424,998
843,386;46,194;521,523;521,523
843,557;61,229;361,464;361,464
843,729;60,596;445,547;445,547
843,9;26,49;336,538;336,538
844,071;50,176;420,965;420,965
844,243;52,253;349,81;349,81
844,414;45,692;419,775;419,775
844,585;51,543;380,692;380,692
844,757;46,256;449,539;449,539
844,928;43,652;331,036;331,036
845,1;45,723;359,186;359,186
845,271;41,918;453,92;453,92
845,442;28,713;351,087;351,087
845,614;56,52;575,071;575,071
845,785;19,55;255,603;255,603
845,956;56,964;450,974;450,974
846,128;56,487;574,227;574,227
846,299;16,124;440,878;440,878
846,471;50,29;421,748;421,748
846,642;41,495;396,397;396,397
846,813;43,651;440,172;440,172
846,985;59,07;384,206;384,206
847,156;37,864;312,595;312,595
847,328;48,881;446,251;446,251
847,499;72,295;348,108;348,108
847,67;62,259;451,025;451,025
847,842;29,385;404,022;404,022
848,013;53,977;367,667;367,667
848,184;63,976;517,991;517,991
848,356;38,031;357,243;357,243
848,527;49,866;416,668;416,668
848,698;37,27;391,094;391,094
848,87;41,257;441,173;441,173
849,041;52,947;414,505;414,505
849,213;55,666;481,469;481,469
849,384;59,401;371,578;371,578
849,555;41,224;418,157;418,157
849,727;41,733;474,659;474,659
849,898;66,256;483,849;483,849
850,069;63,719;404,896;404,896
850,241;49,28;424,339;424,339
850,412;48,257;350,894;350,894
850,583;44,353;459,087;459,087
850,755;40,287;244,019;244,019
850,926;50,055;426,707;426,707
851,098;33,593;360,463;360,463
851,269;39,108;366,723;366,723
851,44;39,774;487,752;487,752
851,612;63,124;331,217;331,217
851,783;47,447;412,456;412,456
851,954;39,24;491,989;491,989
852,126;38,09;420,311;420,311
852,297;60,514;496,053;496,053
852,468;28,736;443,256;443,256
852,64;60,683;341,628;341,628
852,811;32,03;464,275;464,275
852,982;43,737;583,705;583,705
853,154;54,992;487,416;487,416
853,325;53,57;327,898;327,898
853,496;45,04;479,422;479,422
853,668;42,926;521,191;521,191
853,839;35,667;375,31;375,31
854,01;46,4;548,821;548,821
854,182;56,198;553,502;553,502
854,353;49,993;478,584;478,584
854,525;45,946;497,83;497,83
854,696;46,13;470,74;470,74
854,867;30,459;293,013;293,013
855,039;48,779;401,7;401,7
855,21;51,772;450,02;450,02
855,381;35,09;368,436;368,436
855,553;44,479;358,624;358,624
855,724;43,173;422,75;422,75
855,895;45,1;447,855;447,855
856,067;50,43;422,593;422,593
856,238;47,922;613,84;613,84
856,409;38,634;368,613;368,613
856,581;39,734;491,829;491,829
856,752;45,545;423,187;423,187
856,923;55,118;404,85;404,85
857,095;28,877;409,607;409,607
857,266;33,667;428,033;428,033
857,437;47,415;541,176;541,176
857,609;28,214;430,144;430,144
857,78;47,474;383,709;383,709
857,951;38,695;392,708;392,708
858,123;59,964;582,299;582,299
858,294;46,996;528,352;528,352
858,465;39,168;479,299;479,299
858,637;45,89;573,828;573,828
858,808;53,45;417,44;417,44
858,979;41,902;355,073;355,073
859,15;40,819;473,834;473,834
859,322;32,212;576,329;576,329
859,493;50,183;590,419;590,419
859,664;40,564;492,754;492,754
859,836;9,254;379,021;379,021
860,007;32,662;499,398;499,398
860,178;48,229;531,664;531,664
860,35;55,1;469,553;469,553
860,521;63,711;475,671;475,671
860,692;53,956;549,258;549,258
860,864;47,432;452,466;452,466
861,035;54,181;459,833;459,833
861,206;58,613;686,745;686,745
861,378;38,415;524,873;524,873
861,549;50,887;435,715;435,715
861,72;42,042;529,791;529,791
861,892;25,59;350,139;350,139
862,063;66,977;535,921;535,921
862,234;36,449;524,495;524,495
862,405;45,504;592,959;592,959
862,577;41,418;353,646;353,646
862,748;45,628;494,85;494,85
862,919;73,911;565,352;565,352
863,091;34,459;495,836;495,836
863,262;38,535;611,434;611,434
863,433;42,227;510,626;510,626
863,605;48,041;548,936;548,936
863,776;18,357;552,595;552,595
863,947;48,976;647,366;647,366
864,118;43,38;652,92;652,92
864,29;39,22;628,871;628,871
864,461;47,505;517,602;517,602
864,632;55,32;564,768;564,768
864,804;47,822;422,251;422,251
864,975;66,762;532,556;532,556
865,146;40,337;338,097;338,097
865,318;29,85;462,196;462,196
865,489;60,19;528,295;528,295
865,66;69,025;650,163;650,163
865,831;25,296;483,771;483,771
866,003;41,23;741,536;741,536
866,174;53,965;663,803;663,803
866,345;32,539;456,082;456,082
866,517;40,748;540,701;540,701
866,688;59,863;706,704;706,704
866,859;43,475;490,384;490,384
867,03;51,954;546,971;546,971
867,202;46,737;571,234;571,234
867,373;40,224;523,709;523,709
867,544;27,067;458,867;458,867
867,716;40,645;644,036;644,036
867,887;60,649;560,806;560,806
868,058;25,472;701,028;701,028
868,229;71,727;658,968;658,968
868,401;32,022;643,84;643,84
868,572;35,712;435,512;435,512
868,743;36,221;529,808;529,808
868,915;33,518;498,842;498,842
869,086;51;600,598;600,598
869,257;50,155;504,646;504,646
869,428;44,9;614,603;614,603
869,6;49,197;559,606;559,606
869,771;46,282;419,632;419,632
869,942;43,669;504,316;504,316
870,114;63,65;724,239;724,239
870,285;27,824;673,267;673,267
870,456;65,54;537,52;537,52
870,627;35,589;560,673;560,673
870,799;38,818;440,264;440,264
870,97;46,106;446,952;446,952
871,141;57,731;625,824;625,824
871,312;30,729;524,406;524,406
871,484;40,004;772,824;772,824
871,655;23,935;651,531;651,531
871,826;51,63;620,086;620,086
871,998;47,376;600,66;600,66
872,169;33,484;375,202;375,202
872,34;28,178;357,618;357,618
872,511;55,087;597,196;597,196
872,683;45,062;576,773;576,773
872,854;27,34;566,501;566,501
873,025;38,159;737,715;737,715
873,196;50,826;555,349;555,349
873,368;69,034;615,828;615,828
873,539;47,254;749,439;749,439
873,71;57,387;520,782;520,782
873,881;48,661;569,535;569,535
874,053;56,551;494,795;494,795
874,224;48,314;779,721;779,721
874,395;31,91;635,553;635,553
874,566;65,361;680,958;680,958
874,738;59,339;634,535;634,535
874,909;64,365;776,778;776,778
875,08;71,237;759,823;759,823
875,251;54,813;538,512;538,512
875,423;49,134;600,466;600,466
875,594;42,5;432,658;432,658
875,765;33,866;752,009;752,009
875,936;55,621;688,31;688,31
876,108;25,475;655,254;655,254
876,279;30,347;664,535;664,535
876,45;52,443;484,961;484,961
876,621;44,752;608,481;608,481
876,793;44,555;521,97;521,97
876,964;50,005;703,983;703,983
877,135;18,875;418,552;418,552
877,306;30,596;505,734;505,734
877,478;40,225;595,554;595,554
877,649;23,337;503,828;503,828
877,82;46,586;832,847;832,847
877,991;37,808;598,001;598,001
878,163;30,05;603,474;603,474
878,334;34,123;518,68;518,68
878,505;28,09;755,363;755,363
878,676;57,436;490,274;490,274
878,848;36,827;636,255;636,255
879,019;54,626;723,124;723,124
879,19;24,819;588,37;588,37
879,361;41,544;653,742;653,742
879,532;45,657;756,265;756,265
879,704;24,611;587,123;587,123
879,875;32,648;490,867;490,867
880,046;21,011;358,395;358,395
880,217;36,79;637,357;637,357
880,389;27,127;526,78;526,78
880,56;54,7;722,727;722,727
880,731;55,19;555,395;555,395
880,902;46,578;786,796;786,796
881,074;62,823;803,809;803,809
881,245;39,124;624,007;624,007
881,416;43,385;496,999;496,999
881,587;45,899;501,871;501,871
881,758;45,638;729,311;729,311
881,93;38,011;634,631;634,631
882,101;38,835;613,82;613,82
882,272;33,56;617,282;617,282
882,443;44,575;420,763;420,763
882,615;37,157;582,181;582,181
882,786;44,992;787,814;787,814
882,957;40,86;757,811;757,811
883,128;32,351;629,397;629,397
883,299;54,503;763,799;763,799
883,471;29,256;644,199;644,199
883,642;31,103;496,797;496,797
883,813;30,699;719,749;719,749
883,984;38,776;723,026;723,026
884,156;68,55;539,244;539,244
884,327;32,962;602,93;602,93
884,498;29,709;534,848;534,848
884,669;15,389;449,051;449,051
884,84;47,823;763,42;763,42
885,012;56,293;790,548;790,548
885,183;37,525;569,194;569,194
885,354;37,74;702,333;702,333
885,525;12,289;686,921;686,921
885,696;33,342;709,959;709,959
885,868;23,838;531,157;531,157
886,039;26,419;631,842;631,842
886,21;31,703;697,372;697,372
886,381;14,126;735,011;735,011
886,552;29,823;547,767;547,767
886,724;39,225;471,058;471,058
886,895;48,401;797,342;797,342
887,066;46,962;764,772;764,772
887,237;29,961;1000,04;1000,04
887,408;25,331;625,029;625,029
887,58;54,772;604,912;604,912
887,751;24,317;701,471;701,471
887,922;46,011;803,315;803,315
888,093;54,687;692,589;692,589
888,264;40,712;622,895;622,895
888,436;57,113;787,269;787,269
888,607;44,895;950,964;950,964
888,778;10,005;279,272;279,272
888,949;49,207;795,744;795,744
889,12;54,311;787,937;787,937
889,292;56,522;832,196;832,196
889,463;42,185;534,936;534,936
889,634;35,889;680,331;680,331
889,805;47,476;730,554;730,554
889,976;46,658;849,472;849,472
890,148;31,35;801,866;801,866
890,319;46,421;734,673;734,673
890,49;23,248;658,731;658,731
890,661;20,652;683,952;683,952
890,832;36,657;500,332;500,332
891,003;31,371;871,653;871,653
891,175;38,371;734,659;734,659
891,346;51,276;572,582;572,582
891,517;33,472;867,819;867,819
891,688;28,929;873,224;873,224
891,859;50,574;757,159;757,159
892,031;17,821;882,967;882,967
892,202;28,695;833,566;833,566
892,373;23,07;638,069;638,069
892,544;56,426;587,756;587,756
892,715;41,478;821,164;821,164
892,886;55,613;859,8;859,8
893,058;43,423;610,577;610,577
893,229;17,149;807,726;807,726
893,4;62,126;901,641;901,641
893,571;46,113;620,405;620,405
893,742;33,264;805,029;805,029
893,913;38,578;995,697;995,697
894,085;53,707;948,485;948,485
894,256;64,905;969,069;969,069
894,427;61,15;741,485;741,485
894,598;24,278;758,022;758,022
894,769;62,852;899,188;899,188
894,94;40,033;967,969;967,969
